,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
280,Nome,64.5,-165.41,21.2,67,1,14.99,US,1605390372
281,Kamenka,51.32,42.77,32.0,95,100,8.57,RU,1605390374
282,Guiyang,26.58,106.72,41.0,93,0,1.81,CN,1605390375
283,Kavaratti,10.57,72.64,82.35,77,100,6.38,IN,1605390377
284,Westport,41.14,-73.36,48.99,61,0,9.13,US,1605390378
285,Hamilton,39.18,-84.53,55.0,54,90,11.41,US,1605390088
286,Dwārka,22.24,68.97,77.92,61,0,7.87,IN,1605390381
287,Pacific Grove,36.62,-121.92,63.0,63,1,6.93,US,1605390140
288,Kirovskiy,45.09,133.51,32.63,93,95,6.06,RU,1605390384
289,Amparafaravola,-17.58,48.22,66.61,77,81,7.31,MG,1605390385
290,Oussouye,12.48,-16.55,78.8,74,0,4.7,SN,1605390386
291,Alice Springs,-23.7,133.88,84.2,42,43,26.4,AU,1605390110
292,Lichtenburg,-26.15,26.16,68.54,30,18,7.02,ZA,1605390391
293,Megion,61.03,76.11,5.0,92,90,6.71,RU,1605390392
294,Cartagena,10.4,-75.51,80.6,88,75,16.11,CO,1605390393
295,Nazca,-14.83,-74.95,76.82,40,0,7.49,PE,1605390395
296,Palauig,15.44,119.9,80.22,72,84,5.19,PH,1605390398
297,Muskegon,43.3,-86.13,44.6,45,90,13.87,US,1605390399
298,Vangaindrano,-23.35,47.6,67.84,77,99,4.29,MG,1605390400
299,Ende,-8.84,121.66,79.56,73,55,1.43,ID,1605390402
300,Fairbanks,64.84,-147.72,15.8,85,90,1.74,US,1605390308
301,Mahajanga,-15.72,46.32,80.6,88,40,8.05,MG,1605390405
302,Liuzhou,24.31,109.39,67.15,53,98,3.09,CN,1605390407
303,Heide,54.2,9.1,53.01,95,100,1.99,DE,1605390409
304,Mount Isa,-20.73,139.5,84.2,54,12,5.82,AU,1605390410
305,Tūkrah,32.53,20.58,67.23,62,73,10.27,LY,1605390412
306,Sunām,30.13,75.8,61.7,31,0,8.12,IN,1605390413
307,Mayo,38.89,-76.51,57.2,41,1,5.82,US,1605390414
308,Kulevcha,46.03,29.94,42.15,71,52,2.21,UA,1605390416
309,Niamey,13.51,2.11,82.4,26,3,3.36,NE,1605390417
310,Kaeo,-35.1,173.78,72.0,52,65,1.99,NZ,1605390419
311,Raja,8.46,25.68,75.31,34,8,2.3,SS,1605390420
312,São João da Barra,-21.64,-41.05,77.0,94,75,2.24,BR,1605390422
313,Charagua,-19.8,-63.22,96.8,34,75,4.7,BO,1605390423
314,Ambikāpur,23.12,83.2,65.53,75,1,3.27,IN,1605390424
315,Turaif,31.67,38.66,55.4,66,75,11.41,SA,1605390426
316,Ningxiang,37.34,111.21,42.46,65,29,5.53,CN,1605390427
317,Nong Phai,15.99,101.06,67.48,78,2,3.13,TH,1605390428
318,Half Moon Bay,37.46,-122.43,59.0,71,1,16.11,US,1605390431
319,Meshchovsk,54.32,35.28,28.26,98,99,5.08,RU,1605390433
320,Te Anau,-45.42,167.72,59.34,74,100,5.88,NZ,1605390434
321,Río Gallegos,-51.62,-69.22,53.6,37,75,17.22,AR,1605390436
322,Nouadhibou,20.93,-17.03,78.8,29,0,12.75,MR,1605390437
323,San Juan,-31.54,-68.54,71.65,48,12,21.59,AR,1605390439
324,Bozeman,45.68,-111.04,36.0,37,75,18.34,US,1605390440
325,Laas,46.62,10.7,37.99,57,40,1.48,IT,1605390441
326,Areosa,41.72,-8.86,64.0,100,90,13.87,PT,1605390443
327,Poum,-20.23,164.02,78.28,80,0,7.52,NC,1605390446
328,Sørland,67.67,12.69,47.55,73,36,32.53,NO,1605390447
329,Baracoa,20.35,-74.5,79.45,77,91,13.38,CU,1605390309
330,Chumikan,54.72,135.31,17.37,94,41,15.88,RU,1605390450
331,Los Llanos de Aridane,28.66,-17.92,75.2,64,0,5.82,ES,1605390451
332,Naica,27.85,-105.48,82.92,15,35,11.99,MX,1605390452
333,Soyo,-6.13,12.37,78.19,87,100,7.43,AO,1605390454
334,Coolum Beach,-26.53,153.1,78.01,93,7,1.99,AU,1605390457
335,Strausberg,52.58,13.89,50.0,30,100,8.52,DE,1605390458
336,Naze,28.37,129.48,73.4,73,20,11.41,JP,1605390459
337,Rock Sound,24.9,-76.2,79.72,80,0,13.56,BS,1605390461
338,Honiara,-9.43,159.95,84.2,74,20,2.24,SB,1605390462
339,Uvalde,29.37,-99.77,84.99,48,1,3.36,US,1605390464
340,Mabaruma,8.2,-59.78,78.96,83,46,5.06,GY,1605390466
341,Krasnosel'kup,65.7,82.47,-13.36,89,55,8.25,RU,1605390468
342,Fort Nelson,58.81,-122.7,17.6,78,90,1.7,CA,1605390303
343,Dunedin,-45.87,170.5,64.99,59,100,3.67,NZ,1605390279
344,Maragogi,-9.01,-35.22,78.26,83,1,10.13,BR,1605390472
345,Otradnoye,59.78,30.82,32.0,87,1,4.99,RU,1605390473
346,Mildura,-34.2,142.15,78.01,29,0,18.34,AU,1605390475
347,Amahai,-3.33,128.92,82.0,93,40,3.29,ID,1605390476
348,Bārmer,25.75,71.38,70.0,39,0,3.56,IN,1605390477
349,Bodø,67.28,14.4,45.0,65,20,17.22,NO,1605390479
350,Mogadishu,2.04,45.34,79.2,83,1,9.57,SO,1605390480
351,Puerto Colombia,10.99,-74.95,77.0,94,90,9.17,CO,1605390482
352,Saint Paul Harbor,57.79,-152.41,37.4,47,1,11.41,US,1605390483
353,Sambava,-14.27,50.17,74.57,88,85,5.26,MG,1605390484
354,Zihuatanejo,17.63,-101.55,89.6,62,20,6.31,MX,1605390486
355,Dzhebariki-Khaya,62.22,135.8,7.56,95,99,0.92,RU,1605390487
356,Lapua,62.97,23.01,41.0,90,100,8.01,FI,1605390489
357,Nadym,65.53,72.52,-3.46,90,96,8.99,RU,1605390490
358,Klaksvík,62.23,-6.59,44.6,100,84,8.05,FO,1605390491
359,Gambo,4.65,22.26,70.0,69,84,0.89,CF,1605390493
360,Ishinomaki,38.42,141.3,35.6,77,20,5.82,JP,1605390494
361,Narón,43.52,-8.15,64.0,91,100,8.99,ES,1605390496
362,Tangará,-6.2,-35.8,80.6,83,40,8.05,BR,1605390497
363,Souillac,-20.52,57.52,73.4,88,75,12.75,MU,1605390498
364,North Charleston,32.89,-80.01,73.99,69,20,10.29,US,1605390500
365,Virden,39.5,-89.77,50.0,91,87,11.01,US,1605390501
366,Tiznit Province,29.58,-9.5,72.21,30,12,4.25,MA,1605390502
367,Togur,58.36,82.83,18.93,97,100,3.78,RU,1605390505
368,Sittwe,20.15,92.9,74.52,79,0,6.76,MM,1605390507
369,Rast,43.88,23.28,42.01,93,1,2.17,RO,1605390508
370,Bosaso,11.28,49.18,73.87,76,21,1.68,SO,1605390493
371,Dingle,11.0,122.67,76.14,92,27,6.98,PH,1605390511
372,Bubaque,11.28,-15.83,84.96,58,0,7.47,GW,1605390512
373,Taltal,-25.4,-70.48,62.82,62,22,6.15,CL,1605390514
374,Sayyan,15.17,44.32,46.31,55,16,3.27,YE,1605390515
375,Chāndbāli,20.78,86.77,73.09,70,0,7.74,IN,1605390518
376,Abu Dhabi,24.47,54.37,78.8,54,0,6.93,AE,1605390519
377,Keetmanshoop,-26.58,18.13,71.6,24,0,13.87,NA,1605390521
378,Thinadhoo,0.53,72.93,82.24,78,100,21.54,MV,1605390522
379,Kristiansund,63.11,7.73,48.2,49,89,16.11,NO,1605390523
380,Cortez,37.35,-108.59,46.4,31,1,12.75,US,1605390525
381,Blind River,46.18,-82.96,39.2,64,75,14.99,CA,1605390526
382,Wenling,28.37,121.36,57.99,94,5,1.01,CN,1605390527
383,Idtig,6.8,124.77,74.8,93,100,1.14,PH,1605390529
384,Florida,28.75,-82.5,84.99,57,40,6.93,US,1605390530
385,Los Alamos,35.89,-106.31,48.2,21,1,16.11,US,1605390532
386,Road Town,18.42,-64.62,80.6,78,40,9.17,VG,1605390534
387,Leh,34.17,77.58,27.81,74,67,5.86,IN,1605390536
388,Macklin,52.33,-109.93,26.6,79,100,12.75,CA,1605390537
389,Yar-Sale,66.83,70.83,2.34,91,100,13.18,RU,1605390540
390,Ziro,27.63,93.83,40.87,71,0,2.59,IN,1605390541
391,Tadine,-21.55,167.88,78.91,71,7,5.14,NC,1605390543
392,Mizdah,31.45,12.98,58.5,46,2,7.11,LY,1605390544
393,Pisco,-13.7,-76.22,68.0,77,0,9.17,PE,1605390546
394,Ishigaki,24.34,124.16,73.4,88,40,11.41,JP,1605390547
395,Kiryat Gat,31.61,34.76,66.99,83,8,3.62,IL,1605390548
396,Kaili,-3.46,120.21,69.1,91,100,2.26,ID,1605390550
397,Nogliki,51.83,143.17,31.82,93,72,11.9,RU,1605390551
398,Vila,42.03,-8.16,57.99,94,100,8.99,PT,1605390404
399,Neiafu,-18.65,-173.98,80.6,78,20,13.87,TO,1605390554
400,Severo-Kuril'sk,50.68,156.12,39.38,86,68,10.96,RU,1605390555
401,St. George's,12.06,-61.75,80.69,81,98,8.34,GD,1605390557
402,West Helena,34.55,-90.64,78.8,36,34,16.11,US,1605390558
403,Shirakawa,37.12,140.24,46.99,70,0,2.08,JP,1605390561
404,Coruripe,-10.13,-36.18,78.17,83,1,10.78,BR,1605390355
405,Porto-Novo,6.5,2.6,80.26,81,48,6.78,BJ,1605390563
406,Paphos,34.77,32.42,59.0,77,40,8.05,CY,1605390498
407,Leningradskiy,69.38,178.42,6.31,83,100,4.23,RU,1605390566
408,Guánica,17.97,-66.91,79.0,82,61,6.8,PR,1605390568
409,Golubitskaya,45.32,37.28,35.6,64,71,4.07,RU,1605390569
410,Chhor,25.52,69.77,72.1,38,0,9.46,PK,1605390364
411,Caravelas,-17.71,-39.25,77.45,81,91,10.07,BR,1605390572
412,Spas,48.89,24.06,40.55,78,72,5.99,UA,1605390552
413,Curuçá,-0.73,-47.85,78.98,80,100,6.44,BR,1605390576
414,East Patchogue,40.77,-73.0,50.0,43,20,11.41,US,1605390577
415,Yerbogachën,61.28,108.01,4.08,93,85,7.2,RU,1605390579
416,Soe,-9.86,124.28,71.53,56,0,2.26,ID,1605390582
417,Kontagora,10.4,5.47,82.17,27,59,7.74,NG,1605390583
418,Novoseleznëvo,55.68,69.21,22.12,98,99,9.62,RU,1605390584
419,Broken Hill,-31.95,141.43,80.6,15,0,21.92,AU,1605390586
420,Recreio,-21.52,-42.47,74.41,88,100,2.53,BR,1605390587
421,Vanimo,-2.67,141.3,80.67,81,87,4.81,PG,1605390588
422,Puerto Carreño,6.19,-67.49,84.2,70,38,4.38,CO,1605390591
423,Hohhot,40.81,111.65,32.0,67,100,6.71,CN,1605390382
424,Kumul,42.8,93.45,33.91,80,53,5.26,CN,1605390594
425,Trimbak,19.93,73.55,67.53,79,99,3.18,IN,1605390595
426,Havøysund,71.0,24.66,39.2,79,83,14.99,NO,1605390597
427,Bud,39.45,-86.18,48.99,70,90,6.93,US,1605390598
428,Vao,-22.67,167.48,74.46,85,3,7.25,NC,1605390600
429,Isangel,-19.55,169.27,80.6,83,20,6.53,VU,1605390601
430,Venice of the Philippines,4.66,119.39,82.83,76,84,7.58,PH,1605390602
431,Akdepe,42.06,59.38,26.6,79,0,4.7,TM,1605390604
432,Gizo Government Station,-8.1,156.84,84.45,71,59,4.83,SB,1605390605
433,Hualmay,-11.1,-77.61,67.12,74,90,8.66,PE,1605390607
434,Vinh,18.67,105.67,68.52,74,100,14.97,VN,1605390608
435,Duminichi,53.93,35.11,28.11,98,93,4.43,RU,1605390609
436,Oriximiná,-1.77,-55.87,85.57,60,92,5.17,BR,1605390611
437,Coahuayana Viejo,18.73,-103.68,84.2,54,40,5.82,MX,1605390612
438,Tocopilla,-22.09,-70.2,65.19,54,19,8.34,CL,1605390614
439,Mahébourg,-20.41,57.7,73.4,88,75,12.75,MU,1605390615
440,Uyuni,-20.46,-66.83,62.01,18,0,13.85,BO,1605390616
441,Kamaishi,39.27,141.88,45.63,65,0,5.19,JP,1605390618
442,Sidrolândia,-20.93,-54.96,86.0,51,20,5.82,BR,1605390621
443,Arlit,18.74,7.39,73.89,23,15,8.25,NE,1605390622
444,Vanavara,60.34,102.28,3.0,94,81,3.4,RU,1605390623
445,Sabha,27.04,14.43,61.07,55,0,9.93,LY,1605390625
446,Murray Bridge,-35.12,139.27,82.0,32,21,4.0,AU,1605390626
447,Maniitsoq,65.42,-52.9,15.1,82,0,9.53,GL,1605390628
448,Chapais,49.78,-74.85,23.0,79,90,6.93,CA,1605390431
449,Piaçabuçu,-10.41,-36.43,78.22,82,2,10.27,BR,1605390630
450,Horsham,51.06,-0.33,55.99,93,75,13.87,GB,1605390633
451,Vila Franca do Campo,37.72,-25.43,66.2,93,75,6.93,PT,1605390634
452,Atar,20.52,-13.05,81.19,15,53,7.61,MR,1605390636
453,Hebi,35.9,114.19,48.67,65,93,0.85,CN,1605390637
454,Wolsztyn,52.12,16.12,46.99,100,96,2.24,PL,1605390639
455,Berlevåg,70.86,29.09,40.93,81,48,28.41,NO,1605390640
456,Berdigestyakh,62.1,126.7,6.35,93,100,7.9,RU,1605390642
457,Arroyo de la Encomienda,41.61,-4.8,54.0,100,40,9.17,ES,1605390643
458,Asău,46.43,26.4,39.0,85,22,4.72,RO,1605390644
459,Kindu,-2.95,25.95,69.03,96,94,1.83,CD,1605390646
460,Tailai,46.38,123.4,32.07,82,7,10.56,CN,1605390647
461,Sinnamary,5.38,-52.95,80.17,84,100,9.82,GF,1605390648
462,Chicamán,15.4,-90.77,77.0,61,40,4.7,GT,1605390651
463,Southport,53.65,-3.01,53.6,81,75,20.8,GB,1605390653
464,Broome,42.25,-75.83,41.0,44,1,6.93,US,1605390654
465,Krasnoarmeysk,51.02,45.7,27.66,100,100,10.83,RU,1605390655
466,Cafarnaum,-11.69,-41.47,78.76,53,80,10.16,BR,1605390657
467,Necochea,-38.55,-58.74,61.0,79,100,18.84,AR,1605390658
468,Tamworth,52.63,-1.7,52.0,87,20,9.17,GB,1605390660
469,Bhīnmāl,25.0,72.25,71.62,41,0,2.51,IN,1605390661
470,Dandong,40.13,124.39,43.74,74,98,2.84,CN,1605390662
471,Erzin,36.96,36.2,55.4,66,75,3.36,TR,1605390665
472,Qaqortoq,60.72,-46.03,19.4,73,0,9.17,GL,1605390667
473,Jinka,5.65,36.65,64.33,82,24,1.54,ET,1605390668
474,Shiraz,29.6,52.54,46.4,65,0,2.55,IR,1605390582
475,Barabinsk,55.36,78.36,21.74,96,32,4.43,RU,1605390671
476,Chara,56.91,118.26,1.8,79,29,3.42,RU,1605390672
477,Tawang Town,27.58,91.87,40.35,64,0,5.53,IN,1605390674
478,Nanortalik,60.14,-45.24,24.19,83,0,15.95,GL,1605390675
479,Najrān,17.49,44.13,62.6,36,0,0.98,SA,1605390676
480,Fernley,39.61,-119.25,55.0,28,26,3.0,US,1605390678
481,Esmeraldas,-19.76,-44.31,75.2,94,75,8.05,BR,1605390447
482,Paramonga,-10.67,-77.83,66.87,74,92,8.79,PE,1605390680
483,Zlobin,45.29,14.65,55.99,81,20,2.24,HR,1605390682
484,Ørje,59.48,11.66,46.0,93,91,6.87,NO,1605390683
485,São José de Piranhas,-7.12,-38.5,90.39,33,91,9.33,BR,1605390685
486,Pareora,-44.49,171.21,65.25,60,100,3.09,NZ,1605390686
487,Opuwo,-18.06,13.84,73.89,58,86,4.92,NA,1605390687
488,Scottsbluff,41.87,-103.67,39.2,55,90,29.97,US,1605390689
489,Dawlatabad,36.41,64.91,39.07,70,0,4.03,AF,1605390690
490,Marsh Harbour,26.54,-77.06,79.79,76,7,8.12,BS,1605390692
491,Kirakira,-10.45,161.92,85.48,71,5,9.93,SB,1605390693
492,El Limon,10.31,-67.63,77.16,81,44,1.52,VE,1605390694
493,Pangnirtung,66.15,-65.71,8.11,87,73,3.36,CA,1605390696
494,Beringovskiy,63.05,179.32,15.06,87,0,4.12,RU,1605390697
495,Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,100,90,11.18,RU,1605390699
496,Comodoro Rivadavia,-45.87,-67.5,60.8,41,20,19.46,AR,1605390437
497,Bellevue,47.61,-122.2,48.99,61,90,5.82,US,1605390639
498,Kenai,60.55,-151.26,32.0,92,90,3.36,US,1605390703
499,San Cristobal,7.77,-72.22,78.8,83,40,6.93,VE,1605390704
500,Tessalit,20.2,1.01,70.18,22,0,11.88,ML,1605390705
501,Almeirim,-1.52,-52.58,81.84,70,100,3.09,BR,1605390707
502,Kendari,-3.94,122.5,77.49,89,63,2.06,ID,1605390710
503,Krasnovishersk,60.41,57.08,3.85,91,17,0.85,RU,1605390711
504,Garoowe,8.41,48.48,73.24,63,29,9.33,SO,1605390712
505,Xining,36.62,101.77,38.8,67,48,1.97,CN,1605390714
506,Utete,-7.99,38.76,73.31,91,73,1.43,TZ,1605390717
507,Denpasar,-8.65,115.22,80.6,88,40,2.24,ID,1605390613
508,Ron Phibun,8.18,99.85,74.53,94,97,3.96,TH,1605390719
509,Molina,-35.12,-71.28,75.0,28,0,9.17,CL,1605390721
510,Dongsheng,39.82,109.98,41.59,68,100,5.32,CN,1605390722
511,Anadyr,64.75,177.48,-2.2,77,20,6.71,RU,1605390724
512,Mumford,5.26,-0.76,80.22,83,100,8.12,GH,1605390725
513,Taoudenni,22.68,-3.98,76.86,19,59,12.77,ML,1605390727
514,Mahon,39.89,4.27,62.6,93,100,4.23,ES,1605390728
515,Biltine,14.53,20.92,73.67,21,0,14.18,TD,1605390729
516,Ürümqi,43.8,87.6,30.2,80,0,4.47,CN,1605390727
517,Vad,55.53,44.21,29.1,90,100,3.69,RU,1605390732
518,Yinchuan,38.47,106.27,47.98,67,0,4.12,CN,1605390734
519,Hobyo,5.35,48.53,79.5,80,12,11.27,SO,1605390735
520,Banda Aceh,5.56,95.32,79.18,82,38,6.17,ID,1605390738
521,Mendi,-6.18,143.65,62.74,79,98,0.43,PG,1605390739
522,Bundaberg,-24.85,152.35,80.01,74,90,11.41,AU,1605390741
523,Tortolì,39.93,9.66,62.6,93,20,5.82,IT,1605390742
524,Deer Lake,49.17,-57.43,32.0,96,90,9.17,CA,1605390743
525,Skjervøy,70.03,20.97,43.47,69,88,15.48,NO,1605390745
526,Luzhou,28.87,105.44,61.21,61,0,2.57,CN,1605390746
527,Bartica,6.4,-58.62,80.6,94,20,4.7,GY,1605390749
528,Faanui,-16.48,-151.75,80.08,75,100,9.64,PF,1605390750
529,Coro,11.4,-69.67,81.32,81,82,14.27,VE,1605390752
530,Freeport,40.66,-73.58,51.8,37,1,9.17,US,1605390517
531,Honningsvåg,70.98,25.97,42.71,82,3,30.42,NO,1605390756
532,Shimoda,34.67,138.95,50.0,81,0,4.63,JP,1605390757
533,Coyhaique,-45.58,-72.07,57.2,44,20,9.17,CL,1605390505
534,Pedersore,63.65,22.68,39.99,93,75,14.99,FI,1605390760
535,Chibombo,-14.66,28.07,74.89,47,96,2.46,ZM,1605390761
536,Halifax,44.65,-63.57,41.0,91,91,8.01,CA,1605390727
537,Behshahr,36.69,53.55,51.78,52,0,7.23,IR,1605390765
538,Lerwick,60.15,-1.15,50.0,93,100,17.22,GB,1605390767
539,Marabu,4.41,114.01,77.0,94,40,3.36,MY,1605390768
540,Alyangula,-13.85,136.42,78.8,94,75,5.41,AU,1605390770
541,Belyy Yar,53.6,91.39,21.2,79,0,2.24,RU,1605390771
542,Sheridan,44.83,-106.92,37.0,47,90,26.4,US,1605390772
543,Dārāb,28.75,54.54,53.91,46,0,6.89,IR,1605390774
544,Praia da Vitória,38.73,-27.07,68.0,94,75,6.2,PT,1605390775
545,Pishin,30.58,67.0,44.82,82,86,11.59,PK,1605390777
546,Ust'-Ilimsk,58.0,102.66,17.04,97,90,3.38,RU,1605390778
547,Yenagoa,4.92,6.26,76.59,93,37,3.83,NG,1605390782
548,Clevelândia,-26.4,-52.47,71.29,62,24,3.15,BR,1605390783
549,Gigmoto,13.78,124.39,79.63,85,26,9.13,PH,1605390785
550,Henties Bay,-22.12,14.28,60.01,87,0,4.59,NA,1605390786
551,Marmora,44.46,7.09,46.99,73,33,1.1,IT,1605390788
552,Sucúa,-2.47,-78.17,78.8,61,75,2.24,EC,1605390789
553,Arman',59.7,150.17,17.82,95,100,9.17,RU,1605390790
554,Noumea,-22.28,166.46,82.99,65,0,2.24,NC,1605390522
555,Batagay-Alyta,67.8,130.41,-0.76,87,97,1.16,RU,1605390793
556,Vrangel',42.73,133.08,48.65,86,100,9.4,RU,1605390795
557,Antigonish,45.62,-62.0,42.01,94,100,5.01,CA,1605390537
558,Newport,51.59,-3.0,54.0,90,16,4.0,GB,1605390797
559,Plettenberg Bay,-34.05,23.37,62.69,85,94,6.71,ZA,1605390799
560,Kuantan,3.81,103.33,77.0,94,20,3.36,MY,1605390800
561,Amapá,1.0,-52.0,74.89,93,100,2.84,BR,1605390802
562,Iskateley,67.68,53.15,28.47,98,98,13.15,RU,1605390803
563,Saint Anthony,45.02,-93.22,36.0,93,90,10.29,US,1605390804
